"join_ID","group","mlpa_region","region4","affiliated_mpa","mpa_defacto_class","mpa_defacto_designation","year","variable","indicator","mean","sd","n"
"ccfrp","ccfrp","central","central","point lobos smr","smr","smr",2012,"all fish","diversity",1.562358,0.128293,12
"kelp","kelp forest-fish","central","central","point lobos smr","smr","ref",2007,"all fish","diversity",1.7601,0.1283,4
"ccfrp","ccfrp","south","north islands","carrington point smr","smr","smr",2019,"all fish","diversity",1.381688,0.128355,12
"ccfrp","ccfrp","central","central","point lobos smr","smr","ref",2012,"all fish","diversity",1.561881,0.128355,12
"ccfrp","ccfrp","central","central","point lobos smr","smr","ref",2007,"all fish","diversity",1.387928,0.128666,12
"kelp","kelp forest-fish","central","central","vandenberg smr","smr","smr",2001,"all fish","diversity",1.2412,0.1311,2
"ccfrp","ccfrp","central","central","point lobos smr","smr","ref",2016,"all fish","diversity",1.379989,0.131495,12
"ccfrp","ccfrp","central","central","ano nuevo smr","smr","ref",2011,"all fish","diversity",1.254152,0.131635,12
"ccfrp","ccfrp","central","central","point buchon smr","smr","ref",2013,"all fish","diversity",1.365905,0.13186,12
"kelp","kelp forest-fish","central","central","white rock smca","smr","smr",2005,"all fish","diversity",1.0344,0.1325,2
"kelp","kelp forest-fish","central","central","vandenberg smr","smr","ref",2010,"all fish","diversity",2.1016,0.1326,2
"ccfrp","ccfrp","central","central","piedras blancas smr","smr","ref",2019,"all fish","diversity",1.219456,0.132696,12
"kelp","kelp forest-fish","south","south","campus point smca","smr","ref",2017,"all fish","diversity",2.2607,0.1333,2
"kelp","kelp forest-fish","south","south","naples smca","smca","ref",2017,"all fish","diversity",2.2607,0.1333,2
"ccfrp","ccfrp","north","north","stewarts point smr","smr","ref",2018,"all fish","diversity",1.415561,0.133384,12
