"","year","group","region3","region4","affiliated_mpa","mpa_class","mpa_designation","target_status","sum_biomass","long","lat","distance_to_port","implementation_date","size_km2","port_size","min_depth_m","max_depth_m","depth_range","implementation_year","mpa_age","landings_lb_20002006","landings_lb_sqkm_20002006"
"62",2008,"deep_reef","Central","central","point lobos smr","smr","ref","targeted",0.014253164,-121.9547434,36.50542126,12622.48341,"09/21/2007",14.25,"small",0,1338.58,1338.58,"2007",1,140862314.28,993023.026044321
"63",2008,"deep_reef","Central","central","point sur smca","smr","smca","nontargeted",0.00027522,-121.92678,36.27623766,36894.09886,"09/21/2007",27.5,"small",456.04,2047.24,1591.2,"2007",1,136255.77,553.464547779678
"64",2008,"deep_reef","Central","central","point sur smca","smr","smca","targeted",0.014913475,-121.92678,36.27623766,36894.09886,"09/21/2007",27.5,"small",456.04,2047.24,1591.2,"2007",1,136255.77,553.464547779678
"65",2008,"deep_reef","Central","central","point sur smca","smr","ref","nontargeted",8.84e-05,-121.92678,36.27623766,36894.09886,"09/21/2007",27.5,"small",456.04,2047.24,1591.2,"2007",1,136255.77,553.464547779678
"66",2008,"deep_reef","Central","central","point sur smca","smr","ref","targeted",0.006529025,-121.92678,36.27623766,36894.09886,"09/21/2007",27.5,"small",456.04,2047.24,1591.2,"2007",1,136255.77,553.464547779678
"67",2008,"deep_reef","Central","central","point sur smr","smr","smr","targeted",0.000775431,-121.8805609,36.27748432,36634.26347,"09/21/2007",25.36,"small",0,600.39,600.39,"2007",1,136255.77,553.464547779678
"68",2008,"deep_reef","Central","central","point sur smr","smr","ref","nontargeted",9.13e-05,-121.8805609,36.27748432,36634.26347,"09/21/2007",25.36,"small",0,600.39,600.39,"2007",1,136255.77,553.464547779678
"69",2008,"deep_reef","Central","central","point sur smr","smr","ref","targeted",0.002330883,-121.8805609,36.27748432,36634.26347,"09/21/2007",25.36,"small",0,600.39,600.39,"2007",1,136255.77,553.464547779678
"70",2009,"deep_reef","Central","central","carmel bay smca","smca","ref","nontargeted",0.000632569,-121.9386415,36.54822899,7768.376445,"09/21/2007",5.7,"small",0,1545.28,1545.28,"2007",2,140862314.28,993023.026044321
"71",2009,"deep_reef","Central","central","carmel bay smca","smca","ref","targeted",0.004062909,-121.9386415,36.54822899,7768.376445,"09/21/2007",5.7,"small",0,1545.28,1545.28,"2007",2,140862314.28,993023.026044321
"72",2009,"deep_reef","Central","central","piedras blancas smca","smr","ref","targeted",0.005313153,-121.3470489,35.6823383,56233.28148,"09/21/2007",22.89,"small",308.4,1105.64,797.24,"2007",2,13582.6,477.662974151495
"73",2009,"deep_reef","Central","central","point buchon smr","smr","smr","nontargeted",0.000100003,-120.895881,35.22728089,14347.95701,"09/21/2007",17.31,"small",0,682.41,682.41,"2007",2,672536.17,3043.04538927482
"74",2009,"deep_reef","Central","central","point buchon smr","smr","smr","targeted",0.020131192,-120.895881,35.22728089,14347.95701,"09/21/2007",17.31,"small",0,682.41,682.41,"2007",2,672536.17,3043.04538927482
"75",2009,"deep_reef","Central","central","point buchon smr","smr","ref","nontargeted",4.38e-05,-120.895881,35.22728089,14347.95701,"09/21/2007",17.31,"small",0,682.41,682.41,"2007",2,672536.17,3043.04538927482
"76",2009,"deep_reef","Central","central","point buchon smr","smr","ref","targeted",0.003239918,-120.895881,35.22728089,14347.95701,"09/21/2007",17.31,"small",0,682.41,682.41,"2007",2,672536.17,3043.04538927482
"77",2009,"deep_reef","Central","central","point lobos smr","smr","smr","targeted",0.007893093,-121.9547434,36.50542126,12622.48341,"09/21/2007",14.25,"small",0,1338.58,1338.58,"2007",2,140862314.28,993023.026044321
"78",2009,"deep_reef","Central","central","point lobos smr","smr","ref","nontargeted",0.000632569,-121.9547434,36.50542126,12622.48341,"09/21/2007",14.25,"small",0,1338.58,1338.58,"2007",2,140862314.28,993023.026044321
"79",2009,"deep_reef","Central","central","point lobos smr","smr","ref","targeted",0.006212493,-121.9547434,36.50542126,12622.48341,"09/21/2007",14.25,"small",0,1338.58,1338.58,"2007",2,140862314.28,993023.026044321
"80",2009,"deep_reef","South","north islands","anacapa island smr","smr","smr","nontargeted",0.002690947,-119.3840236,34.03783425,20504.5732,"09/04/2003",29.9,"medium",0,2326.12,2326.12,"2003",6,20684400.47,73352.9054396628
"81",2009,"deep_reef","South","north islands","anacapa island smr","smr","smr","targeted",0.016421709,-119.3840236,34.03783425,20504.5732,"09/04/2003",29.9,"medium",0,2326.12,2326.12,"2003",6,20684400.47,73352.9054396628
"82",2009,"deep_reef","South","north islands","carrington point smr","smr","smr","targeted",0.013447037,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",6,16669064.71,65210.338289838
"83",2009,"deep_reef","South","north islands","carrington point smr","smr","ref","targeted",0.019201551,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",6,16669064.71,65210.338289838
"84",2009,"deep_reef","South","north islands","gull island smr","smr","smr","targeted",0.016697285,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",6,45922774.35,203155.517872566
"85",2009,"deep_reef","South","north islands","gull island smr","smr","ref","targeted",0.01478,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",6,45922774.35,203155.517872566
"86",2009,"deep_reef","South","north islands","harris point smr","smr","smr","targeted",0.012261481,-120.3498209,34.0933918,69905.57822,"09/04/2003",65.78,"small",0,1827.43,1827.43,"2003",6,8214051.58,30145.8979179714
"87",2009,"deep_reef","South","north islands","harris point smr","smr","ref","nontargeted",8.35e-05,-120.3498209,34.0933918,69905.57822,"09/04/2003",65.78,"small",0,1827.43,1827.43,"2003",6,8214051.58,30145.8979179714
"88",2009,"deep_reef","South","north islands","harris point smr","smr","ref","targeted",0.001599958,-120.3498209,34.0933918,69905.57822,"09/04/2003",65.78,"small",0,1827.43,1827.43,"2003",6,8214051.58,30145.8979179714
"89",2009,"deep_reef","South","north islands","south point smr","smr","smr","targeted",0.038468298,-120.138482,33.87677793,71788.20235,"09/04/2003",33.87,"small",0,3513.78,3513.78,"2003",6,78398618.26,543184.417129899
"90",2009,"deep_reef","South","north islands","south point smr","smr","ref","targeted",0.014691104,-120.138482,33.87677793,71788.20235,"09/04/2003",33.87,"small",0,3513.78,3513.78,"2003",6,78398618.26,543184.417129899
"91",2011,"deep_reef","Central","north","southeast farallon island smca","smr","smca","targeted",0.004114692,-123.0385295,37.67669311,52434.37095,"01/05/2010",33.54,"small",426.51,1253.28,826.77,"2010",1,2316931.1,8535.5829455728
"92",2011,"deep_reef","Central","north","southeast farallon island smr","smr","smr","targeted",0.012360498,-123.0127307,37.69232123,51031.43586,"01/05/2010",13.87,"small",0,780.84,780.84,"2010",1,2316931.1,8535.5829455728
"93",2011,"deep_reef","Central","north","southeast farallon island smr","smr","ref","targeted",0.005112077,-123.0127307,37.69232123,51031.43586,"01/05/2010",13.87,"small",0,780.84,780.84,"2010",1,2316931.1,8535.5829455728
"94",2011,"deep_reef","North","north","bodega head smca","smca","smca","targeted",0.012226092,-123.0862996,38.27363272,7387.360434,"01/05/2010",31.89,"small",0,875.98,875.98,"2010",1,325894.45,1279.99206116941
"95",2011,"deep_reef","North","north","bodega head smca","smca","ref","targeted",0.003520747,-123.0862996,38.27363272,7387.360434,"01/05/2010",31.89,"small",0,875.98,875.98,"2010",1,325894.45,1279.99206116941
"96",2011,"deep_reef","North","north","bodega head smr","smr","smr","targeted",0.009477448,-123.105123,38.31737507,5052.077525,"01/05/2010",24.19,"small",0,872.7,872.7,"2010",1,127637.61,1419.41419125527
"97",2011,"deep_reef","North","north","bodega head smr","smr","ref","targeted",0.003520747,-123.105123,38.31737507,5052.077525,"01/05/2010",24.19,"small",0,872.7,872.7,"2010",1,127637.61,1419.41419125527
"98",2011,"deep_reef","North","north","point arena smca","smr","smca","targeted",0.018332098,-123.7876397,38.96141416,8461.762539,"01/05/2010",17.45,"very_small",501.97,1062.99,561.02,"2010",1,5176863.5,24099.9887727364
"99",2011,"deep_reef","North","north","point arena smca","smr","ref","targeted",0.006905449,-123.7876397,38.96141416,8461.762539,"01/05/2010",17.45,"very_small",501.97,1062.99,561.02,"2010",1,5176863.5,24099.9887727364
"100",2011,"deep_reef","North","north","point arena smr","smr","smr","targeted",0.034460854,-123.7528435,38.96035663,6273.915712,"01/05/2010",11.34,"very_small",0,567.59,567.59,"2010",1,5176863.5,24099.9887727364
"101",2011,"deep_reef","North","north","point arena smr","smr","ref","targeted",0.006905449,-123.7528435,38.96035663,6273.915712,"01/05/2010",11.34,"very_small",0,567.59,567.59,"2010",1,5176863.5,24099.9887727364
"102",2014,"deep_reef","North","north","sea lion gulch smr","smr","smr","targeted",0.008915201,-124.3715658,40.22648092,60071.62648,"12/19/2012",26.98,"medium",0,1230.31,1230.31,"2012",2,1546,44.2714031999378
"103",2014,"deep_reef","North","north","sea lion gulch smr","smr","ref","nontargeted",6.38e-05,-124.3715658,40.22648092,60071.62648,"12/19/2012",26.98,"medium",0,1230.31,1230.31,"2012",2,1546,44.2714031999378
"104",2014,"deep_reef","North","north","sea lion gulch smr","smr","ref","targeted",0.199511959,-124.3715658,40.22648092,60071.62648,"12/19/2012",26.98,"medium",0,1230.31,1230.31,"2012",2,1546,44.2714031999378
