"class","order","family","genus","species","target_status","Surf zone","Kelp forest","Shallow reef","Deep reef"
"Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","aggregata","Targeted","X",NA,NA,NA
"Actinopterygii","Eupercaria incertae sedis","Moronidae","Morone","saxatilis","Targeted","X",NA,NA,NA
"Actinopterygii","Blenniiformes","Clinidae","Clinidae",NA,"Nontargeted","X",NA,NA,NA
"Actinopterygii","Eupercaria incertae sedis","Sciaenidae","Genyonemus","lineatus","Targeted","X",NA,NA,NA
"Actinopterygii","Blenniiformes","Clinidae","Gibbonsia",NA,"Nontargeted","X",NA,NA,NA
"Actinopterygii","Perciformes","Embiotocidae","Brachyistius","frenatus","Nontargeted","X","X",NA,"X"
"Actinopterygii","Perciformes","Embiotocidae","Embiotoca","jacksoni","Targeted","X",NA,NA,NA
"Actinopterygii","Clupeiformes","Clupeidae","Sardinops","sagax","Targeted","X","X",NA,NA
"Actinopterygii","Perciformes","Sebastidae","Sebastes","rastrelliger","Targeted","X",NA,NA,NA
"Actinopterygii","Perciformes","Sebastidae","Sebastes","paucispinis","Targeted","X",NA,NA,"X"
"Actinopterygii","Perciformes","Pholidae","Pholidae",NA,"Nontargeted","X",NA,NA,NA
"Actinopterygii","Perciformes","Agonidae","Stellerina","xyosterna","Nontargeted","X",NA,NA,NA
"Actinopterygii","Perciformes","Cottidae","Scorpaenichthys","marmoratus","Targeted","X",NA,NA,"X"
"Actinopterygii","Blenniiformes","Clinidae","Gibbonsia","montereyensis","Nontargeted","X",NA,NA,NA
"Actinopterygii","Eupercaria incertae sedis","Sciaenidae","Menticirrhus","undulatus","Targeted","X",NA,NA,NA
"Actinopterygii","Eupercaria incertae sedis","Sciaenidae","Atractoscion","nobilis","Targeted","X",NA,NA,NA
"Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","californica","Targeted","X",NA,"X",NA
"Actinopterygii","Eupercaria incertae sedis","Sciaenidae","Umbrina","roncador","Targeted","X",NA,NA,NA
"Actinopterygii","Eupercaria incertae sedis","Sciaenidae","Seriphus","politus","Targeted","X",NA,NA,NA
"Actinopterygii","Eupercaria incertae sedis","Sciaenidae","Cheilotrema","saturnum","Targeted","X",NA,NA,NA
"Elasmobranchii","Rhinopristiformes","Rhinobatidae","Pseudobatos","productus","Targeted","X",NA,NA,NA
"Elasmobranchii","Myliobatiformes","Urotrygonidae","Urobatis","halleri","Targeted","X",NA,NA,NA
