"year","group","region3","region4","affiliated_mpa","mpa_class","mpa_designation","target_status","sum_biomass"
2019,"deep_reef","South","north islands","south point smr","smr","ref","targeted",0.136117778
2020,"deep_reef","Central","central","big creek smr","smr","smr","nontargeted",0.000285426
2020,"deep_reef","Central","central","big creek smr","smr","smr","targeted",0.07313106
2020,"deep_reef","Central","central","big creek smr","smr","ref","nontargeted",0.001927308
2020,"deep_reef","Central","central","big creek smr","smr","ref","targeted",0.120256033
2020,"deep_reef","Central","central","piedras blancas smca","smr","smca","nontargeted",0.00026203
2020,"deep_reef","Central","central","piedras blancas smca","smr","smca","targeted",0.093780227
2020,"deep_reef","Central","central","piedras blancas smca","smr","ref","nontargeted",0.001870521
2020,"deep_reef","Central","central","piedras blancas smca","smr","ref","targeted",0.009938828
2020,"deep_reef","Central","central","piedras blancas smr","smr","smr","nontargeted",0.000573154
2020,"deep_reef","Central","central","piedras blancas smr","smr","smr","targeted",0.000986814
2020,"deep_reef","Central","central","piedras blancas smr","smr","ref","nontargeted",0.001870521
2020,"deep_reef","Central","central","piedras blancas smr","smr","ref","targeted",0.009938828
2020,"deep_reef","North","north","bodega head smca","smca","smca","nontargeted",0.001074423
2020,"deep_reef","North","north","bodega head smca","smca","smca","targeted",0.024294585
2020,"deep_reef","North","north","bodega head smca","smca","ref","nontargeted",8.9e-05
2020,"deep_reef","North","north","bodega head smca","smca","ref","targeted",0.012054967
2020,"deep_reef","North","north","bodega head smr","smr","smr","nontargeted",8.85e-05
2020,"deep_reef","North","north","bodega head smr","smr","smr","targeted",0.025566996
2020,"deep_reef","North","north","bodega head smr","smr","ref","nontargeted",8.9e-05
2020,"deep_reef","North","north","bodega head smr","smr","ref","targeted",0.012054967
2020,"deep_reef","North","central","montara smr","smr","smr","nontargeted",0.000141233
2020,"deep_reef","North","central","montara smr","smr","smr","targeted",0.0279957
2020,"deep_reef","North","north","point arena smca","smr","smca","targeted",0.049221401
2020,"deep_reef","North","north","point arena smca","smr","ref","nontargeted",0.0001837
2020,"deep_reef","North","north","point arena smca","smr","ref","targeted",0.016779162
2020,"deep_reef","North","north","point arena smr","smr","smr","nontargeted",0.000140584
2020,"deep_reef","North","north","point arena smr","smr","smr","targeted",0.119876532
2020,"deep_reef","North","north","point arena smr","smr","ref","nontargeted",0.0001837
2020,"deep_reef","North","north","point arena smr","smr","ref","targeted",0.016779162
2020,"deep_reef","North","north","point st. george reef offshore smca","smca","smca","targeted",0.048486891
2020,"deep_reef","North","north","point st. george reef offshore smca","smca","ref","nontargeted",0.000333018
2020,"deep_reef","North","north","point st. george reef offshore smca","smca","ref","targeted",0.045823595
2020,"deep_reef","North","north","reading rock smr","smr","smr","nontargeted",5.052e-05
2020,"deep_reef","North","north","reading rock smr","smr","smr","targeted",0.026181078
2020,"deep_reef","North","north","reading rock smr","smr","ref","nontargeted",0.000150311
2020,"deep_reef","North","north","reading rock smr","smr","ref","targeted",0.032273523
2020,"deep_reef","North","north","southeast farallon island smca","smr","ref","nontargeted",7.48e-05
2020,"deep_reef","North","north","southeast farallon island smca","smr","ref","targeted",0.021423634
2020,"deep_reef","North","north","southeast farallon island smr","smr","smr","nontargeted",0.00061121
2020,"deep_reef","North","north","southeast farallon island smr","smr","smr","targeted",0.025909885
2020,"deep_reef","North","north","southeast farallon island smr","smr","ref","nontargeted",7.48e-05
2020,"deep_reef","North","north","southeast farallon island smr","smr","ref","targeted",0.021423634
2020,"deep_reef","North","north","sea lion gulch smr","smr","smr","nontargeted",0.000846784
2020,"deep_reef","North","north","sea lion gulch smr","smr","smr","targeted",0.070486191
2020,"deep_reef","North","north","sea lion gulch smr","smr","ref","nontargeted",0.007068915
2020,"deep_reef","North","north","sea lion gulch smr","smr","ref","targeted",0.038320934
2020,"deep_reef","North","north","ten mile smr","smr","smr","nontargeted",0.000323021
2020,"deep_reef","North","north","ten mile smr","smr","smr","targeted",0.03863224
2020,"deep_reef","North","north","ten mile smr","smr","ref","nontargeted",0.000211442
2020,"deep_reef","North","north","ten mile smr","smr","ref","targeted",0.036523925
2020,"deep_reef","South","north islands","anacapa island smca","smca","ref","nontargeted",0.030310605
2020,"deep_reef","South","north islands","anacapa island smca","smca","ref","targeted",0.177141443
2020,"deep_reef","South","north islands","anacapa island smr","smr","smr","nontargeted",0.011213715
2020,"deep_reef","South","north islands","anacapa island smr","smr","smr","targeted",0.177768841
2020,"deep_reef","South","north islands","anacapa island smr","smr","ref","nontargeted",0.030310605
2020,"deep_reef","South","north islands","anacapa island smr","smr","ref","targeted",0.135153869
2020,"deep_reef","South","north islands","carrington point smr","smr","smr","nontargeted",0.001511664
2020,"deep_reef","South","north islands","carrington point smr","smr","smr","targeted",0.048245676
2020,"deep_reef","South","north islands","carrington point smr","smr","ref","nontargeted",0.000637706
2020,"deep_reef","South","north islands","carrington point smr","smr","ref","targeted",0.061349808
2020,"deep_reef","South","south","farnsworth offshore smca","smca","smca","nontargeted",0.015252698
2020,"deep_reef","South","south","farnsworth offshore smca","smca","smca","targeted",0.183993418
2020,"deep_reef","South","south","farnsworth offshore smca","smca","ref","nontargeted",0.375063494
2020,"deep_reef","South","south","farnsworth offshore smca","smca","ref","targeted",0.766678602
2020,"deep_reef","South","north islands","gull island smr","smr","smr","nontargeted",0.032851667
2020,"deep_reef","South","north islands","gull island smr","smr","smr","targeted",0.097648351
2020,"deep_reef","South","north islands","gull island smr","smr","ref","nontargeted",0.002842019
2020,"deep_reef","South","north islands","gull island smr","smr","ref","targeted",0.721307625
2020,"deep_reef","South","north islands","harris point smr","smr","smr","nontargeted",0.00208844
2020,"deep_reef","South","north islands","harris point smr","smr","smr","targeted",0.099659677
2020,"deep_reef","South","north islands","harris point smr","smr","ref","nontargeted",0.000530256
2020,"deep_reef","South","north islands","harris point smr","smr","ref","targeted",0.033800087
2020,"deep_reef","South","south","south la jolla smca","smca","smca","nontargeted",0.022128055
2020,"deep_reef","South","south","south la jolla smca","smca","smca","targeted",0.082578609
2020,"deep_reef","South","south","south la jolla smca","smca","ref","nontargeted",0.005019971
2020,"deep_reef","South","south","south la jolla smca","smca","ref","targeted",0.045876999
2020,"deep_reef","South","south","south la jolla smr","smr","smr","nontargeted",0.001288505
2020,"deep_reef","South","south","south la jolla smr","smr","smr","targeted",0.032290652
2020,"deep_reef","South","south","south la jolla smr","smr","ref","nontargeted",0.005019971
2020,"deep_reef","South","south","south la jolla smr","smr","ref","targeted",0.045876999
2020,"deep_reef","South","north islands","south point smr","smr","smr","nontargeted",0.0103111
2020,"deep_reef","South","north islands","south point smr","smr","smr","targeted",0.274812132
2020,"deep_reef","South","north islands","south point smr","smr","ref","nontargeted",0.001959515
2020,"deep_reef","South","north islands","south point smr","smr","ref","targeted",0.209363456
2020,"deep_reef","South","south","swami's smca","smca","smca","nontargeted",0.052039343
2020,"deep_reef","South","south","swami's smca","smca","smca","targeted",0.196800735
2020,"deep_reef","South","south","swami's smca","smca","ref","nontargeted",0.020805344
2020,"deep_reef","South","south","swami's smca","smca","ref","targeted",0.253513189
2007,"ccfrp","central","central","ano nuevo smr","smr","ref","nontargeted",0
2007,"ccfrp","central","central","ano nuevo smr","smr","ref","targeted",61.9342981688163
2007,"ccfrp","central","central","ano nuevo smr","smr","smr","nontargeted",0
2007,"ccfrp","central","central","ano nuevo smr","smr","smr","targeted",33.4660794285444
2007,"ccfrp","central","central","point buchon smr","smr","ref","nontargeted",0
2007,"ccfrp","central","central","point buchon smr","smr","ref","targeted",57.9542133226958
2007,"ccfrp","central","central","point buchon smr","smr","smr","nontargeted",0
2007,"ccfrp","central","central","point buchon smr","smr","smr","targeted",80.1286085104596
2007,"ccfrp","central","central","point lobos smr","smr","ref","nontargeted",0
2007,"ccfrp","central","central","point lobos smr","smr","ref","targeted",78.9326548523558
2007,"ccfrp","central","central","point lobos smr","smr","smr","nontargeted",0
2007,"ccfrp","central","central","point lobos smr","smr","smr","targeted",242.103672125696
2008,"ccfrp","central","central","ano nuevo smr","smr","ref","nontargeted",0.00821539255195299
